LOCATION,REGION,LEAD_ORGAN,LATITUDE,ESTIMATED_,ADDRESS,PLUG_TYPE,LONGITUDE,CHARGERS,NEARBY_AME,DCAV_SITE,COMPANY,PLUGSHARE_,NUMBER_OF_
Portsea,Port Phillip,The Trustee for Colonial & Empire Brewing Trust,-38.31956348,16-Oct-23,"Portsea Hotel, 3746 Point Nepean Road, PORTSEA VIC 3944","1 x CCS2, 1 x CHAdeMO",144.7146171,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Dining, Shopping, Accommodation, Recreation Reserve, Walking Trail",NO,Portsea Hotel,https://www.plugshare.com/location/553441,1
Hastings,Port Phillip,Evie Networks,-38.30799985,,"34 King Street, HASTINGS VIC 3915","1 x CCS2, 1 x CHAdeMO",145.19192568474165,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Reserve, Supermarket, Dining, Foreshore, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/464393,1
Queenscliff,Barwon South West,Borough of Queenscliffe,-38.26767098,10/10/2022,"50 Learmonth Street, QUEENSCLIFF VIC 3225",2 x CCS2,144.6587846,2 x 50kW Fast Chargers,"Park, Playground, Public Toilets, Dining, Accommodation, Museum, Shopping, Foreshore Reserve, Lighthouse, Lookout",NO,Borough of Queenscliffe,https://www.plugshare.com/location/539979,2
Winchelsea,Barwon South West,Surf Coast Shire Council,-38.24280267,Feb-25,"Former Winchelsea Shire Hall, 28 Hesse Street, WINCHELSEA VIC 3241",,143.9892411,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Visitor Information Centre, Shopping, Dining, Accommodation, Public Swimming Pool",YES,,,1
Camperdown,Barwon South West,Evie Networks,-38.2303752,31/7/2023,"2 Bath Street, CAMPERDOWN VIC 3260","1 x CCS2, 1 x CHAdeMO",143.14585095599142,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Dining, Museum, Shopping, Supermarket, Accommodation, Public Swimming Pool",NO,,https://www.plugshare.com/location/516153,1
Grovedale,Barwon South West,City of Greater Geelong,-38.19683893,13/6/2023,"240 Pioneer Road, GROVEDALE VIC 3216","1 x CCS2, 1 x CHAdeMO",144.3201593,2 x 50kW Fast Charger,"Park, Playground, Public Toilets, Dining, Supermarket, Shopping, Aquatic and Recreation Centre",NO,City of Greater Geelong,https://www.plugshare.com/location/352806,2
Traralgon,Gippsland,Evie Networks,-38.19566665,31/7/2023,"49 Breed Street, TRARALGON VIC 3844","1 x CCS2, 1 x CHAdeMO",146.53296100859833,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Dining, Shopping, Supermarket, Visitor Information Centre, Accommodation",NO,,https://www.plugshare.com/location/500260,1
Drysdale,Barwon South West,City of Greater Geelong,-38.188427,31/7/2023,"30 Penisula Drive, Drysdale VIC 3216","1 x CCS2, 1 x CHAdeMO",144.555593,2 x 50kW Fast Charger,"Sports Precinct, Nature Reserve, Public Toilets, Aquatic Centre, Schools",NO,City of Greater Geelong,https://www.plugshare.com/location/551878,2
Moe,Gippsland,,-38.18448829,,"211 Lloyd St, MOE, VIC 3825",2 x CHAdeMO and 4 x CCS2/SAE,146.237747,"1 x 350kW Ultra Rapid Chargers, 2 x 50kW Fast Chargers",,NO,Chargefox,https://www.plugshare.com/location/216032,3
Warragul,Gippsland,Evie Networks,-38.15903434,Jan-24,"Warragul Homemaker Centre, 57 Hazel Drive","1 x CCS2, 1 x CHAdeMO",145.9336492,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Dining, Shopping, Supermarket, Accommodation, Recreation Reserve",NO,Evie Networks,https://www.plugshare.com/location/562148,1
Sale,Gippsland,,-38.11255282,,"Port of Sale, Canal Rd (in car park), SALE 3850",1 x CHAdeMO and 1 x CCS2/SAE,147.0633027,1 x 75kW Fast Charger,,NO,Evie Networks,https://www.plugshare.com/location/307756,1
Mordialloc,Port Phillip,Kingston City Council,-38.00842473,31-Dec-23,"Peter Scullin Reserve, MORDIALLOC VIC 3195","1 x CCS2, 1 x CHAdeMO",145.0845711,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Dining, Supermarket, Shopping",NO,Kingston City Council,https://www.plugshare.com/location/553581,1
Heyfield,Gippsland,Wellington Shire Council,-37.97996616,31-Oct-23,"9-11 George Street, HEYFIELD VIC 3858","1 x CCS2, 1 x CHAdeMO",146.7864456,1 x 50kW Charger,"Park, Playground, Public Toilets, Dining, Supermarket, Shopping, Recreation Reserve, Wetlands",NO,Wellington Shire Council,https://www.plugshare.com/location/554682,1
Maffra,Gippsland,Evie Networks,-37.96724773,31/7/2023,"4 Purdy Lane, MAFFRA VIC 3860","1 x CCS2, 1 x CHAdeMO",146.9748422,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Recreational Reserve, Museum, Visitor Information Centre, Dining, Shopping, Supermarket",NO,,https://www.plugshare.com/location/482864,1
Moorabbin,Port Phillip,Morris Moor Pty Ltd,-37.94125806,,"Business and Hospitality precinct, 254-248 Chesterville Road, MOORABBIN VIC 3189",3 x Type 2,145.0604458,"3 x 22kW Charger
","Shopping, Dining, Brewery, Public Toilets",NO,,https://www.plugshare.com/location/413448,3
Dartmoor,Barwon South West,Evie Networks,-37.92223914,,"73 Greenham Street, DARTMOOR VIC 3304","1 x CCS2, 1 x CHAdeMO",141.27620469155485,1 x 50kW Fast Charger,"Park, Playground, Recreation Reserve, Supermarket, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/484348,1
Paynesville,Gippsland,Evie Networks,-37.91912927,31/7/2023,"3 Raymond Street, PAYNESVILLE VIC 3880","1 x CCS2, 1 x CHAdeMO",147.72303380419055,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Beach, Reserve, Dining, Supermarket, Accommodation, Shopping",NO,Evie Networks,https://www.plugshare.com/location/479851,1
Scoresby,Port Phillip,Chargebay Pty Ltd,-37.91258232,Nov-24,"31-37 Dalmore Drive, SCORESBY VIC 3179","2 x Type 2, 2 x CCS2",145.218699,"2 x 22kW Charger, 1 x 50kW Fast Charger","Park, Playground, Public Toilets, Adventure Park, Dining, Accommodation",YES,,,2
Belgrave,Port Phillip,Evie Networks,-37.90827979,31/7/2023,"Reynolds Lane, BELGRAVE VIC 3160","1 x CCS2, 1 x CHAdeMO",145.35348273679094,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Scenic Train, Supermarket, Shopping, Dining, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/534323,1
Werribee,Port Phillip,Wyndham City Council,-37.9017665,12/6/2023,"22 Synnot Street, WERRIBEE VIC 3030",2 x Type 2,144.6623625,2 x 22kW Charger,"Park, Public Toilets, Playground, Dining, Shopping, Supermarket",NO,Wyndham City Council,https://www.plugshare.com/location/478545,2
Werribee,Port Phillip,Wyndham City Council,-37.89691375,31/7/2023,"Community Centre, 45 Princes Highway, WERRIBEE VIC 3030","1 x CCS2, 1 x CHAdeMO",144.6706178,2 x 50kW Fast Charger,"Park, Public Toilets, Playground, Off-Leash Dog Park, Dining",NO,,,2
Lakes Entrance,Gippsland,Evie Networks,-37.88237508,31/7/2023,"2 Marine Parade, LAKES ENTRANCE VIC 3909","1 x CCS2, 1 x CHAdeMO",147.9733941,1 x 50kW Fast Charger,"Park, Dining, Museum, Supermarket, Shopping, Public Toilets, Accommodation, Recreation Reserve",NO,,https://www.plugshare.com/location/461335,1
Glen Waverley,Port Phillip,City of Monash,-37.88227576,,"112 Kingsway, GLEN WAVERLEY VIC 3150",2 x Type 2,145.1638529,1 x 22kW Charger,"Park, Playground, Off-Leash Dog Park, Dining, Shopping, Aquatic and Recreation Centre, Accommodation, Public Toilets, Supermarket",NO,,https://www.plugshare.com/location/472258,1
Lakes Entrance,Gippsland,East Gippsland Shire Council,-37.880482,Dec-24,"12 Mechanics Street, LAKES ENTRANCE VIC 3909","1 x CCS2, 1 x CHAdeMO",147.985919,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Aqua Park, Recreation Reserve & Camping Ground, Jetty, Lookout, Off-Leash Dog Park, Dining, Shopping, Accommodation, Supermarket",YES,,,1
Glen Waverley,Port Phillip,City of Monash,-37.87858613,,"Euneva Car Park, GLEN WAVERLEY VIC 3150",2 x Type 2,145.1624728,1 x 22kW Charger,"Park, Playground, Off-Leash Dog Park, Dining, Shopping, Aquatic and Recreation Centre, Accommodation, Public Toilets, Supermarket",NO,,https://www.plugshare.com/location/480458,1
Mount Waverley,Port Phillip,City of Monash,-37.87449931,,"41 Millers Crescent, MOUNT WAVERLEY VIC 3149",2 x Type 2,145.1275482,2 x 11kW Charger,"Park, Playground, Off-Leash Dog Park, Dining, Shopping, Accommodation, Public Toilets, Supermarket",NO,,https://www.plugshare.com/location/466167,2
The Basin,Port Phillip,Evie Networks,-37.856136,Nov-24,"1326 Mountain Hwy, The Basin VIC 3154","1 x CCS2, 1 x CHAdeMO",145.315238,50 kW,"Shopping, Cafes, Restaurants, Accommodation, Public Toilets, Recreation Reserve, Playground",YES,,,
Malvern,Port Phillip,City of Stonnington,-37.85574811,20/3/2023,"290 Glenferrie Road, MALVERN VIC 3144","1 x CCS2, 1 x CHAdeMO",145.0296359,1 x 50kW Fast Charger,"Park, Playground, Dining, Shopping, Accommodation, Supermarket, Public Toilets",NO,Stonnington City Council,https://www.plugshare.com/location/537305,1
Camberwell,Port Phillip,Boroondara City Council,-37.84981,28-Feb-24,"238A Warrigal Rd, Camberwell VIC 3146","1 x CCS2, 1 x CHAdeMO",145.095568,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Accommodation, Shopping, Dining, Supermarket",NO,,https://www.plugshare.com/location/554215,1
Meredith,Grampians,Evie Networks,-37.84428082,,"12 Wallace Street, Meredith VIC 3333","1 x CCS2, 1 x CHAdeMO",144.0767955,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Shopping, Dining, Supermarket",NO,Evie Networks,https://www.plugshare.com/location/305837,1
Richmond,Port Phillip,INTELLIHUB AUSTRALIA Pty Ltd,-37.82730343,Dec-24,"University of Melbourne, Burnley Campus, Ecosystem and Forest Science, 500 Yarra Boulevard, RICHMOND VIC 3121",1 x Type 2,145.0221834,1 x 11kW Charger,"Park, Playground, Public Toilets, Dining, Shopping, Accommodation, Walking Trail",YES,,,1
Richmond,Port Phillip,Yarra City Council,-37.825198,Dec-24,"Richmond Library - 415 Church St, Richmond VIC 3121",2 x CCS2,144.998666,2 x 75kW Charger,"Park, Public Toilets, Shopping, Dining, Supermarket",YES,,,2
Bairnsdale,Gippsland,Evie Networks,-37.82365165,,"9 Francis Street, BAIRNSDALE VIC 3875","1 x CCS2, 1 x CHAdeMO",147.6295941,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, River Walk Trail, Dining, Shopping, Supermarket, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/476504,1
Melbourne,Port Phillip,INTELLIHUB AUSTRALIA Pty Ltd,-37.82245858,30-Jun-24,"Australian Ballet Theatre - 2 Kavanagh St, Southbank VIC 3006",1 x Type 2,144.9689171,1 x 22kW Charger,"Park, Playground, Public Toilets, Dining, Shopping, Supermarket, Botanic Gardens, Museum, Accommodation",NO,,,1
Hawthorn,Port Phillip,Boroondara City Council,-37.821098,28-Feb-24,"Hawthorn Aquatic and Leisure Centre, 1 Grace St, HAWTHORN VIC 3122","1 x CCS2, 1 x CHAdeMO",145.035004,1 x 50kW Fast Charger,"Swimming Pool, Oval, Public Toilets, Accommodation, Shopping, Dining, Supermarket",NO,,https://www.plugshare.com/location/553583,1
Richmond,Port Phillip,INTELLIHUB AUSTRALIA Pty Ltd,-37.81974653,Dec-24,"Melbourne Cricket Ground, Brunton Avenue, RICHMOND VIC 3121",1 x Type 2,144.9834815,1 x 11kW Charger,"Park, Playground, Public Toilets, Dining, Shopping, Supermarket, Botanic Gardens, Museum, Accommodation",YES,,,1
Melbourne,Port Phillip,INTELLIHUB AUSTRALIA Pty Ltd,-37.80688472,Dec-24,"Queen Victoria Market, Queen Street, MELBOURNE VIC 3000",1 x Type 2,144.9567421,1 x 11kW Charger,"Park, Playground, Public Toilets, Dining, Shopping, Supermarket, Botanic Gardens, Museum, Accommodation, Aquarium",YES,,,1
Fitzroy,Port Phillip,INTELLIHUB AUSTRALIA Pty Ltd,-37.80482738,Dec-24,"Stolen Generations Marker, Corner of Gertrude Street and Brunswick Street, FITZROY VIC 3065",1 x Type 2,144.9788771,1 x 11kW Charger,"Park, Playground, Public Toilets, Shopping, Dining, Supermarket, Accommodation, Museum, Rock Climbing Gym",YES,,,1
Abbotsford,Port Phillip,INTELLIHUB AUSTRALIA Pty Ltd,-37.80187646,Dec-24,"Collingwood Children's Farm/Abbotsford Convent, 18 St. Heliers Street, ABBOTSFORD VIC 3067",1 x Type 2,145.005219,1 x 11kW Charger,"Park, Playground, Public Toilets, Shopping, Dining, Supermarket, Museum, Swimming Hole, Picnic Area, Walking Trail, Accommodation",YES,,,1
Melbourne,Port Phillip,INTELLIHUB AUSTRALIA Pty Ltd,-37.79917701,Dec-24,"Peter MacCallum Cancer Centre, 305 Grattan Street, MELBOURNE VIC 3000",1 x Type 2,144.956122,1 x 11kW Charger,"Park, Playground, Public Toilets, Dining, Shopping, Supermarket, Accommodation, Museum",YES,,,1
Parkville,Port Phillip,INTELLIHUB AUSTRALIA Pty Ltd,-37.79336484,30-Jun-24,"The Royal Children's Hospital Melbourne, 50 Flemington Road, PARKVILLE VIC 3052",1 x Type 2,144.9497068,1 x 11kW Charger,"Park, Playground, Public Toilets, Dining, Shopping, Supermarket, Accommodation, Zoo",YES,,,1
Fitzroy,Port Phillip,INTELLIHUB AUSTRALIA Pty Ltd,-37.79336484,2/11/2022,"St Vincent's Hospital Melbourne, 41 Victoria Parade, FITZROY VIC 3065",1 x Type 2,144.9497068,1 x 11kW Charger,"Park, Playground, Public Toilets, Dining, Shopping, Supermarket, Accommodation, Museum",YES,,,1
Fitzroy North,Port Phillip,Yarra City Council,-37.783447,Dec-24,"Piedimonte's Supermarket - 37/49A Best St, Fitzroy North VIC 3068",4 x CCS2,144.98337,2 x 75kW Charger,"Park, Playground, Public Toilets, Shopping, Dining",YES,,,2
Parkville,Port Phillip,INTELLIHUB AUSTRALIA Pty Ltd,-37.78330363,Dec-24,"Melbourne Zoo, Elliott Avenue, PARKVILLE VIC 3052",1 x Type 2,144.9513327,1 x 11kW Charger,"Park, Playground, Public Toilets, Dining",YES,,,1
Yarra Junction,Port Phillip,Evie Networks,-37.780951,31-Oct-23,"Yarra Junction Reserve East, 1 Park Road, YARRA JUNCTION, VIC 3797
","1 x CCS2, 1 x CHAdeMO
",145.613107,50 kW,"Walking Trail, Shopping, Cafes, Restaurants, Accommodation, Public Toilets, Recreation Reserve",NO,Evie Networks,https://www.plugshare.com/location/554207,1
Rosanna,Port Phillip,Banyule City Council,-37.742522,19-May-23,"Bellevue Parade Car Park, Rosanna, VIC, 3084","1 x CCS2, 1 x CHAdeMO",145.064388,22 kW,"Park, Playground, Cafes, Dining",NO,Banyule City Council,https://www.plugshare.com/location/488465,1
Hamilton,Barwon South West,Evie Networks,-37.742503,May-24,"Hamilton & Grampians Visitor Information Centre, 86 Hamilton Place HAMILTON VIC 3300","1 x CCS2, 1 x CHAdeMO",142.020573,1 x 50kW Fast Charger,"Park, Playground, Shopping, Dining, Visitor Information Centre, Supermarket, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/517591,1
Airport West,Port Phillip,,-37.71423527,,"29-35 Louis St, AIRPORT WEST VIC 3042",6 x CHAdeMO and 2 x CCS2/SAE,144.8860233,"2 x 350kW Ultra Rapid Chargers, 2 x 50kW Fast Chargers",,NO,Chargefox,https://www.plugshare.com/location/195205,4
Bruthen,Gippsland,Evie Networks,-37.708246,Feb-24,"79 Main Street, BRUTHEN VIC 3885","1 x CCS2, 1 x CHAdeMO",147.834395,1 x 50kW Fast Charger,"Recreation Reserve, Public Toilets, Dining, Accommodation, Camping",NO,Evie Networks,https://www.plugshare.com/location/548567,1
Tullamarine,Port Phillip,EON Charge,-37.68733321,31-Dec-23,"URBNSURF, 309 Melrose Drive, TULLAMARINE VIC 3045","1 x CCS2, 1 x CHAdeMO",144.8684592,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Shopping, Dining, Supermarket, Accommodation",NO,,https://www.plugshare.com/location/583242,1
Yarra Glen,Port Phillip,Yarra Glenergy,-37.65561797,,"McKenzie Reserve, Melba Highway, YARRA GLEN VIC 3775","1 x CCS2, 1 x CHAdeMO",145.3729124,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Accommodation, Shopping, Dining, Supermarket",NO,,https://www.plugshare.com/location/473256,1
Healesville,Port Phillip,Evie Networks,-37.65321089,31/7/2023,"80 River St Parking Lot, HEALESVILLE VIC 3777","1 x CCS2, 1 x CHAdeMO",145.5156096,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Shopping, Dining, Supermarket, Accommodation, Gin Distillery",NO,Evie Networks,https://www.plugshare.com/location/537625,1
Dunkeld,Barwon South West,Evie Networks,-37.65057842,31/7/2023,"83 Wills Street, DUNKELD VIC 3294","1 x CCS2, 1 x CHAdeMO",142.34282891969846,1 x 50kW Fast Charger,"Park, Visitor Information Centre, Public Toilets, Dining, Museum, Accommodation",NO,,https://www.plugshare.com/location/520436,1
Ballarat Central,Grampians,,-37.56115436,,"61 Curtis St, BALLARAT CENTRAL VIC 3350",4 x CHAdeMO and 4 x CCS2/SAE,143.8627477,"2 x 350kW Ultra Rapid Chargers, 2 x 50kW Fast Chargers",,NO,Chargefox,https://www.plugshare.com/location/240468,4
Mallacoota,Gippsland,East Gippsland Shire Council,-37.557954,Dec-24,"Croajingalong Centre - Greer Street, MALLACOOTA VIC 3892","1 x CCS2, 1 x CHAdeMO",149.758297,1 x 50kW Fast Charger,"Park, Playground, Bushland Reserve, Coastal Reserve, Dining, Shopping, Supermarket, Accommodation, Camping, Public Toilets",YES,,,1
Invermay,Grampians,Midlands Golf and Bowls Club,-37.52782149,,"Midlands Golf and Bowls Club, Heinz Lane, INVERMAY VIC 3350",3 x Type 2,143.8574913,3 x 22kW Charger,"Park, Playground, Public Toilets, Recreation Reserve, Bushland Reserve, Shopping, Dining, Supermarket, Accommodation",NO,Midlands Golf and Bowls Club,https://www.plugshare.com/location/498278,3
Buchan,Gippsland,East Gippsland Shire Council,-37.499031,Oct-24,"Main Road, BUCHAN VIC 3885","1 x CCS2, 1 x CHAdeMO",148.172035,1 x 24kW Charger,"Park, Playground, Public Toilets, Walking Trail, Accommodation, Dining",YES,,,1
Beaufort,Grampians,Evie Networks,-37.42879917,31/7/2023,"Number One Carpark, 19 Willoby St, Beaufort VIC 3373","1 x CCS2, 1 x CHAdeMO",143.38302026368726,1 x 50kW Fast Charger,"Park, Public Toilets, Dining, Shopping, Accommodation",NO,,https://www.plugshare.com/location/532106,1
Macedon,Loddon Mallee,Evie Networks,-37.42330258,31/7/2023,"Smith Street Roadside Parking, MACEDON VIC 3440","1 x CCS2, 1 x CHAdeMO",144.56252778412747,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Dining, Shopping, Supermarket, Accommodation",NO,,https://www.plugshare.com/location/535986,1
